customerTelephoneNumber,telephoneCustomerNum
0872641316,994
0872709672,71
0872731878,277
0872781206,681
0872798128,287
0872836385,638
0872893817,341
0872972804,48
0873023074,178
0873064933,582
0873159058,265
0873182611,834
0873407036,228
0873414957,342
0873420277,786
0873435068,254
0873489285,678
0873521163,507
0873686639,738
0873785100,394
0873790794,588
0873840184,306
0873974893,168
0874136611,69
0874139869,662
0874238349,329
0874470523,344
0874501713,408
0874552356,319
0874671617,258
0874680351,146
0874743590,93
0874754633,1025
0874903211,345
0874951139,1254
0875077248,14
0875136974,700
0875303970,471
0875480471,446
0875755466,98
0875782371,720
0875939961,213
0876110527,368
0876190205,123
0876193609,557
0876352847,2
0876384579,167
0876568960,325
0876606372,13
0876864481,372
0876942282,309
0876968597,539
0876972774,173
0877179453,1166
0877292558,491
0877296168,867
0877453214,596
0877482127,1084
0877540069,181
0877547912,131
0877601228,20
0877738042,751
0877762046,166
0877764393,366
0877776901,551
0877791823,432
0878026599,545
0878062020,794
0878076177,795
0878114907,133
0878150114,375
0878205393,619
0878231814,265
0878366093,279
0878367776,497
0878461889,874
0878520187,1156
0879020943,978
0879037401,74
0879068168,411
0879090552,137
0879176213,73
0879189964,652
0879338226,483
0879352201,222
0879356545,774
0879408260,624
0879606825,470
0879659601,244
0879794375,777
0879952815,101
0879982520,727
0880024793,480
0880117978,279
0880256703,285
0880295457,60
0880411135,78
0880438818,123
0880506668,703
0880622488,346
0880623610,90
0880772113,284
0880813539,515
0880831133,258
0881056569,504
0881080585,783
0881271225,763
0881281849,21
0881379210,73
0881459876,270
0881538177,206
0881601814,635
0881668574,30
0881892392,44
0881905815,544
0882113966,537
0882150921,115
0882418710,545
0882578689,226
0882901916,327
0882987274,507
0883055525,633
0883069279,635
0883118521,469
0883213136,558
0883234426,178
0883272449,12
0883327590,19
0883332432,111
0883415248,968
0883502792,694
0883504010,657
0883549029,1148
0883715480,596
0883726603,262
0883732915,150
0883881359,155
0883936468,121
0884044225,93
0884182292,901
0884351194,641
0884486486,652
0884608509,197
0884681791,952
0884691983,620
0884771871,103
0885063655,1131
0885076523,532
0885104089,598
0885107414,243
0885113369,254
0885147932,298
0885209865,1047
0885225013,322
0885255719,250
0885307158,295
0885562624,124
0885573592,406
0885608015,851
0885767191,852
0885823385,733
0886096956,165
0886099854,656
0886109761,136
0886119063,244
0886219321,83
0886260607,369
0886310838,228
0886314483,559
0886316162,173
0886326875,700
0886556871,211
0886746043,934
0886916876,491
0886987802,207
0887015357,693
0887111458,80
0887122381,664
0887163037,907
0887175781,1019
0887272369,97
0887380369,995
0887446671,361
0887462337,90
0887696206,397
0887723643,801
0887803314,785
0887894999,282
0887908551,74
0887979587,554
0888013702,154
0888030221,220
0888102102,206
0888151502,63
0888280313,63
0888407885,645
0888527486,352
0888528109,90
0888650207,1255
0888670122,375
0888687506,52
0888709029,491
0888719471,205
0888725501,147
0888876212,149
0889004783,794
0889043711,203
0889085593,295
0889196872,250
0889314194,107
0889609831,75
0889681631,65
0889762846,447
0889784703,122
0889823650,217
0889825646,398
0889844593,138
0890023623,44
0890075557,164
0890112767,1000
0890195354,121
0890219434,454
0890229100,187
0890233261,224
0890305579,582
0890319296,191
0890366319,155
0890413394,1075
0890415465,399
0890443967,72
0890461848,226
0890522586,37
0890569167,958
0890593850,488
0890623097,3
0890655694,182
0890702062,124
0890715245,342
0890753338,339
0890811201,598
0890850774,505
0890872496,112
0890943867,156
0891146048,124
0891185997,61
0891286907,464
0891346082,103
0891367611,575
0891423868,998
0891501833,42
0891613183,257
0891740367,774
0891748389,2
0891820706,70
0891830983,94
0891859138,399
0892153911,111
0892238523,491
0892356224,166
0892422062,314
0892673681,527
0892907119,405
0893050542,122
0893204916,908
0893218193,576
0893219665,25
0893325080,107
0893348850,290
0893508001,114
0893683622,140
0893739004,21
0893792516,20
0893824758,1004
0893917045,77
0894007313,118
0894112342,928
0894157988,265
0894209406,264
0894230523,127
0894263580,569
0894304399,886
0894342572,180
0894365015,673
0894524646,448
0894582906,246
0894978526,13
0895071063,196
0895230754,743
0895383923,847
0895385646,610
0895456237,765
0895546331,134
0895624808,506
0895675217,541
0895841882,312
0895896197,344
0895906284,129
0895922862,379
0895945090,652
0896018086,375
0896035642,838
0896043510,422
0896089705,439
0896205935,614
0896313250,306
0896338799,139
0896363465,272
0896373602,898
0896428483,325
0896493871,396
0896543382,353
0896621725,220
0896633962,134
0896673612,817
0896717488,83
0896733282,27
0896793739,369
0896903734,609
0896944656,118
0897169422,93
0897398035,314
0897542819,1169
0897693393,226
0897767381,78
0897856726,421
0898255451,118
0898462353,169
0898606471,879
0898647350,52
0898804183,264
0898900496,545
0898910202,169
0898915461,127
0898919226,205
0898975350,648
0899001121,216
0899396807,573
0899417587,978
0899748903,312
0899781723,906
0899794514,136
0899993094,122
09000098881,119
0900061454,188
0900125254,730
0900132477,233
0900209371,52
0900387783,304
0900427085,625
0900511497,447
0900585402,311
0900607194,795
0900678188,174
0900722924,5
0900812557,124
0900931605,466
0901028315,975
0901089052,92
0901166001,65
0901239099,54
0901740217,120
0901907926,692
0901913552,291
0901917796,124
0902188046,369
0902311882,24
0902357376,492
0902429757,321
0902480446,500
0902637317,651
0902678518,484
0902794507,563
0902913978,97
0902915326,496
0903203431,671
0903221419,230
0903257026,176
0903281242,667
0903321211,144
0903330519,113
0903465637,30
0903475062,718
0903605823,338
0903634416,618
0903651735,41
0903786267,558
0903875593,492
0904395187,847
0904443502,119
0904487376,141
0904517090,553
0904529458,34
0904605591,25
0904622433,545
0904684693,464
0904723823,376
0904807014,397
0904951859,306
0905025909,153
0905054959,320
0905085533,245
0905234722,718
0905301797,45
0905303188,65
0905410753,138
0905414675,6
0905509142,164
0905532643,541
0905699886,576
0905708334,165
0905719345,530
0905828966,65
0905844944,151
0905978977,801
0906059989,531
0906100592,860
0906170327,139
0906487058,58
0906502342,331
0906583335,688
0906687567,838
0906776876,973
0906858680,736
0906882343,963
0907094996,910
0907197985,57
0907230023,23
0907422397,597
0907441322,94
0907507609,369
0907563893,1010
0907729838,888
0907803986,55
0907848485,297
0907934155,176
0907982461,935
0908042851,21
0908143299,196
0908152517,170
0908381262,109
0908439979,143
0908723648,767
0908760383,195
0908832355,147
0908899427,114
0908985940,117
0909315563,787
0909492648,470
0909746095,619
0909821937,588
0909983973,452
0910170188,70
0910206573,141
0910323764,102
0910353283,382
0910373201,166
0910633825,96
0910732321,679
0910762440,7
0910767717,475
0910910561,859
0910910795,198
0910946790,182
0910948040,195
0911061709,482
0911202280,18
0911282448,188
0911289222,561
0911418067,179
0911568096,344
0911640889,1184
0911694367,389
0911902448,582
0912001302,563
0912056447,1055
0912079539,350
0912133384,92
0912199784,763
0912267113,616
0912320236,27
0912348634,420
0912610472,576
0912615756,228
0912652950,358
0912655902,1284
0912774360,688
0912875968,111
0912909530,353
0912980509,21
0913056545,520
0913149065,24
0913166689,344
0913250334,18
0913465233,187
0913619776,922
0913761065,452
0913919597,896
0914014309,173
0914306608,251
0914786458,358
0914997563,996
0915061623,641
0915116054,116
0915145007,18
0915365328,120
0915438660,251
0915750968,983
0915759236,53
0915827130,173
0915867540,516
0916195189,831
0916196457,992
0916235467,125
0916252278,615
0916311066,496
0916362989,264
0916517838,14
0916646107,578
0916966378,432
0917309635,786
0917318245,769
0917366297,144
0917519554,154
0917575591,199
0917616515,97
0917738332,2
0917782182,288
0917863643,388
0918083941,720
0918219017,261
0918324425,33
0918328529,679
0918377444,466
0918387366,190
0918395348,675
0918703107,206
0918721870,359
0918864551,387
0918892797,929
0919187355,1064
0919253870,28
0919262377,270
0919267024,421
0919277018,189
0919303912,159
09194 913545,810
0919462878,699
0919677334,1
0919943994,228
0920075004,780
0920119893,298
0920229904,810
0920239208,439
0920311680,138
0920392172,523
0920443046,138
0920955237,407
0921088444,654
0921209940,703
0921274070,190
0921537558,104
0921542511,375
0921846048,461
0921904719,467
0922069221,170
0922133851,160
0922223812,468
0922272939,1130
0922349385,488
0922369416,219
0922455541,1045
0922458638,271
0922770506,315
0922829315,88
0922833555,167
0922885440,664
0922922204,63
0922987018,779
0923009029,325
0923018749,700
0923030303,975
0923258679,522
0923326036,527
0923435306,1189
0923580263,1093
0923624623,336
0923724857,411
0923971658,277
0923973480,39
0923997984,134
0924148967,278
0924197964,151
0924204046,491
0924331249,250
0924506527,177
0924563907,225
0924668736,111
0924834435,186
0924930801,748
0925105649,195
0925123033,382
0925138053,179
0925177376,242
0925341749,336
0925367319,553
0925379015,236
0925478947,158
0925490976,843
0925579012,413
0925634382,76
0925673893,33
0925720106,21
0925742557,187
0925755365,824
0925806513,1178
0925965674,570
0926034370,233
0926204675,126
0926266112,393
0926388917,419
0926411552,180
0926414460,114
0926478835,508
0926508765,150
0926630932,404
0926635391,207
0926885990,54
0926999960,333
0927056829,572
0927184712,1004
0927194500,111
0927258599,289
0927328484,347
0927569676,1154
0927627832,730
0927701630,843
0927702627,105
0927882465,181
0927960439,600
0927980777,995
0928072300,1092
0928079244,388
0928120310,678
0928159638,298
0928170839,324
0928177240,281
0928250006,32
0928442446,91
0928470692,590
0928671425,938
0928756612,1021
0928805144,48
0929086955,468
0929116219,86
0929377997,455
0929389268,54
0929464962,105
0929722803,104
0929732289,779
0929779330,792
0929785408,878
0929930257,563
0929992958,110
0930043937,992
0930077074,20
0930145369,501
0930268964,256
0930294018,187
0930432375,357
0930656372,180
0930777528,195
0930794133,486
0930958408,207
0930982617,53
0930996551,266
0931020984,542
0931181320,542
0931199903,75
0931327178,594
0931442183,123
0931553583,664
0931554490,1103
0931605107,271
0931658231,827
0931753011,747
0931816154,101
0931829991,257
0932112858,148
0932159000,560
0932178687,653
0932268682,148
0932319976,547
0932357796,101
0932387522,594
0932429342,385
0932437649,120
0932651809,573
0932713621,26
0932820593,78
0932824802,446
0932949571,172
0933021594,421
0933075687,576
0933084426,131
0933233384,130
0933236037,24
0933464615,456
0933668447,236
0933712360,33
0933845565,258
0933910426,653
0933956702,7
0933968809,628
0934030822,179
0934037442,1175
0934503494,2
0934596723,33
0934600066,396
0934705837,419
0934785913,560
0934855631,112
0934946661,387
0935175848,794
0935391111,71
0935416452,326
0935458586,863
0935551168,133
0935555499,1045
0935653105,998
0935720204,176
0935792005,113
0935859374,643
0935894664,379
0935944216,458
0936438345,342
0936525139,532
0936667286,497
0936705318,830
0936824081,472
0936925760,1000
0936984910,834
0937089710,906
0937183067,16
0937215933,703
0937275438,530
09373 915119,1016
0937428034,256
0937585305,69
0937661610,983
0937728907,508
0937880803,252
0937945583,575
0938052603,282
0938127991,597
0938180317,302
0938210342,769
0938239022,247
0938347501,520
0938520591,520
0938589122,513
0938642695,800
0938749929,540
0938931898,991
0938942988,193
0938972469,295
0938981995,830
0938990523,55
0939011157,163
0939208829,774
0939217341,436
0939429466,391
0939472842,678
0939518176,199
0939745566,996
0939746025,262
0939918125,731
0939973158,400
0940034372,509
0940096553,259
0940101098,616
0940138786,859
0940306133,309
0940434184,196
0940508245,67
0940585298,38
0940726370,95
0940818382,560
0940875857,343
0940995236,181
0941051882,203
0941336431,532
0941373750,294
0941585796,714
0941643983,688
0941968838,867
0942123108,222
0942179824,16
0942413597,334
0942468634,154
0942623593,133
0942748507,333
0942768025,35
0942777879,477
0942790097,150
0942804638,320
0942858853,139
0942932436,78
0943064720,13
0943501012,279
0943542900,192
0943626005,817
0943789563,31
0943846510,171
0943937209,786
0943944554,354
0943979109,335
0943981541,217
0944023139,726
0944223199,106
0944284461,397
0944317493,192
0944472824,287
0944504124,98
0944667629,973
09447 973328,126
0944844281,329
0944848759,175
0944919034,356
0945397665,331
0945685343,273
0945701190,420
0945964184,318
0945973609,206
0946033657,515
0946077460,898
0946149589,55
0946166401,120
0946526049,1021
0946639947,100
0946822553,175
0947064279,25
0947106749,274
0947347618,83
0947372610,206
0947438288,176
0947478555,182
0947599457,272
0947616281,483
0947835192,61
0947953637,45
0948012234,107
0948036773,78
0948078982,601
0948171761,63
0948197163,292
0948197831,443
0948389377,51
0948424386,114
0948474716,192
0948566611,7
0948689087,284
0948763294,804
0948830483,443
0948954575,55
0948985317,325
0949055275,797
0949138864,138
0949188630,157
0949190145,908
0949228936,94
0949274686,893
0949377512,69
0949498695,115
0949524859,914
0949609743,506
0949698290,196
0949732614,656
0949895037,638
0949992670,59
0950068375,743
0950138239,178
0950174583,66
0950203751,646
0950237290,510
0950265898,74
0950312384,1320
0950332047,688
0950408164,129
0950415116,520
0950417942,342
