passportNumber,expirationDate,passportCustomerNum
F82543753,2021-02-18,1534
F85539579,2020-08-22,321
F86052829,2020-05-12,830
F89851896,2021-08-16,1370
F90583389,2021-11-17,416
F92407832,2020-08-19,367
F92543182,2020-02-07,146
F93740575,2020-01-29,534
F99884143,2020-12-01,1218
G01023249,2021-12-30,162
G02155843,2021-03-24,578
G04124954,2020-04-19,1045
G07286479,2020-11-13,1274
G07299038,2019-04-05,547
G07374804,2020-10-23,133
G07404002,2020-12-11,889
G08644307,2020-07-15,73
G10824120,2020-11-12,741
G11697209,2021-06-27,942
G11931015,2021-02-05,1244
G12435583,2020-11-12,422
G15358519,2021-08-11,467
G16610955,2020-03-10,880
G16904568,2021-02-13,1216
G19955261,2020-11-03,361
G23388872,2020-01-11,64
G23903753,2021-07-15,722
G24580653,2021-10-21,922
G25661302,2020-02-26,608
G26401327,2021-04-19,664
G33865030,2020-08-04,377
G35089548,2021-12-24,311
G37734200,2019-07-01,983
G38924535,2021-10-07,1296
G39237576,2020-01-22,105
G43765931,2021-08-04,893
G43961717,2021-12-12,1414
G45151776,2020-01-21,1367
G45626021,2020-07-20,856
G46664404,2021-02-02,138
G48424027,2021-05-16,1532
G48609514,2021-06-20,1285
G51015170,2019-01-20,1004
G51730261,2021-01-03,258
G52821948,2020-12-30,46
G53189516,2020-02-19,106
G56541557,2019-09-22,222
G58664989,2021-10-15,280
G59243528,2021-01-26,191
G60075244,2021-11-07,94
G60432658,2021-10-26,1156
G60763366,2020-05-24,382
G63504604,2021-05-24,130
G63906831,2020-12-31,833
G64170290,2020-12-13,1598
G64599185,2019-11-11,411
G64755357,2020-03-23,70
G65212897,2020-06-20,588
G65839639,2020-02-16,1422
G67326418,2021-09-01,525
G68170434,2020-03-24,518
G70997445,2020-11-04,1378
G72252241,2021-11-09,153
G73648189,2021-01-24,226
G75501552,2020-08-24,847
G77267759,2020-08-05,292
G78420335,2021-03-24,853
G78584365,2020-08-12,1242
G80780573,2020-01-21,1590
G81138531,2021-12-19,1327
G86379936,2021-02-11,682
G88446912,2021-01-21,1405
G88623524,2021-07-15,385
G97143138,2020-02-15,473
G97164383,2020-10-06,572
G99502342,2020-03-24,989
H00031115,2021-05-27,65
H00818668,2020-08-06,72
H03031124,2021-12-20,1122
H04745237,2021-12-10,106
H05536470,2020-07-09,355
H05695354,2021-12-27,740
H05821062,2021-06-05,1210
H07485425,2020-10-01,22
H07610983,2020-04-06,1552
H14782942,2021-09-27,1228
H16112654,2021-01-27,169
H16216045,2020-06-09,332
H16403173,2021-06-14,1205
H16621512,2020-09-07,292
H17217760,2020-12-23,643
H19837339,2020-11-13,660
H19956533,2021-03-19,837
H19967016,2020-01-09,800
H20331620,2020-11-04,452
H23653757,2021-06-03,125
H23696494,2021-06-30,1425
H27544035,2021-08-09,769
H27693979,2020-01-04,1184
H31170038,2021-04-22,569
H31692962,2020-06-30,16
H32072355,2021-05-28,1392
H32524822,2021-09-20,1225
H34367736,2021-08-30,655
H34712893,2021-06-05,1061
H37965939,2021-03-04,1091
H38385370,2020-04-02,156
H41960680,2021-08-26,720
H42021166,2021-12-02,500
H42078114,2021-01-10,488
H42651619,2021-07-30,719
H44319053,2021-05-17,562
H46148154,2021-10-27,489
H50607160,2021-07-10,917
H51102837,2021-11-18,268
H52268983,2020-09-15,913
H55807068,2020-07-17,963
H58977055,2020-03-26,791
H59093513,2020-06-17,888
H59453724,2021-01-10,792
H60302265,2021-11-23,168
H61135815,2020-11-13,281
H63559784,2021-03-08,1034
H64096978,2020-11-21,901
H64795512,2021-09-29,262
H65608029,2020-07-01,12
H68743683,2021-03-18,817
H69383643,2020-04-25,615
H70755454,2021-07-10,1354
H73344787,2020-02-21,1539
H73575083,2020-01-26,1131
H75870345,2020-11-07,360
H77408165,2021-07-27,362
H81595914,2021-03-09,787
H84094750,2021-02-22,1271
H85387724,2020-08-25,1233
H85798661,2020-12-15,679
H90502906,2021-04-01,199
H90607613,2020-07-28,1095
H90680108,2020-09-13,184
H90873481,2021-01-04,798
H93303929,2021-07-02,1522
H93368327,2020-12-22,1171
H94176082,2020-07-08,705
H95185250,2021-01-03,354
H96255026,2021-12-11,155
H97519579,2020-05-30,605
H97610799,2020-04-05,240
H97766631,2020-12-25,397
J01300322,2021-04-22,1180
J02138169,2021-02-09,846
J02698802,2020-12-05,806
J03492593,2020-05-15,633
J04770790,2020-11-25,944
J06329976,2021-05-08,488
J06933201,2019-10-07,274
J10614178,2021-01-13,55
J16397634,2020-08-02,1058
J17075027,2021-03-08,1251
J18091717,2021-07-30,1312
J20404420,2020-09-09,34
J20920443,2021-03-08,646
J21285146,2021-08-03,962
J22100381,2020-09-13,1093
J24546950,2021-07-01,149
J24930914,2021-02-09,303
J25083245,2020-12-21,325
J25287882,2021-03-23,1191
J25621427,2020-06-09,1310
J25662679,2021-05-18,972
J27341059,2020-02-14,973
J27777545,2020-03-18,453
J28431760,2020-02-09,681
J30128817,2021-08-26,902
J31900621,2021-12-07,174
J32567875,2021-08-14,762
J33267426,2020-09-28,1489
J34863068,2020-02-15,4
J35941335,2020-04-17,1429
J36336940,2020-09-11,37
J38229231,2021-06-28,1341
J38892110,2020-03-11,477
J38902714,2021-02-09,898
J41605484,2021-12-18,685
J41931202,2020-04-05,555
J42582732,2020-05-20,793
J42766165,2021-12-08,1048
J43732679,2021-02-23,932
J44352374,2021-08-22,167
J46452391,2021-06-08,163
J49225139,2020-05-08,638
J51988168,2020-12-20,117
J53552125,2020-02-17,1600
J54845324,2021-02-17,1023
J55794767,2020-08-22,161
J60299634,2021-08-12,300
J60923423,2021-02-13,1074
J60973357,2021-04-02,114
J66038584,2020-07-31,102
J67450191,2020-03-27,22
J68914370,2021-11-08,1431
J73773838,2021-11-11,765
J74496288,2021-06-09,375
J75303247,2020-10-14,446
J75476292,2020-03-29,200
J77472365,2020-05-12,736
J78142832,2020-09-15,1307
J78638838,2020-02-16,260
J79976495,2020-05-01,535
J80665624,2020-09-11,603
J81826596,2020-10-03,176
J83737555,2021-08-10,1135
J84170371,2020-02-08,1434
J90944892,2020-09-27,1411
J91059622,2021-07-23,406
J93156499,2020-06-01,9
J93273352,2021-08-22,1279
J93783699,2020-06-27,344
J97620979,2021-10-01,801
J98103062,2021-01-24,455
J99327453,2020-11-29,1169
K00443436,2021-05-01,734
K00716493,2021-08-07,1292
K10699205,2020-02-23,1183
K12536041,2020-09-11,315
K13180759,2021-06-12,677
K13611977,2021-12-20,536
K14930290,2021-02-16,81
K14950369,2020-12-30,1147
K17933927,2020-10-14,738
K21654441,2020-11-29,469
K25759381,2020-07-13,986
K26211685,2021-03-17,1368
K27801569,2020-11-06,434
K32372271,2021-10-02,443
K34812542,2021-05-22,1560
K35857897,2021-01-22,152
K37685333,2020-12-08,826
K40966795,2021-12-27,468
K41520950,2020-10-29,1331
K42416444,2020-11-26,794
K45037348,2020-12-08,182
K45263450,2021-07-15,976
K45401838,2021-09-15,1246
K47914553,2020-09-23,557
K48790633,2021-10-09,164
K50075591,2021-05-04,19
K51662288,2021-04-28,456
K53168868,2020-10-17,1415
K56605995,2021-01-14,614
K58390719,2021-06-30,906
K58877415,2020-09-22,484
K61154473,2021-11-08,246
K62182720,2021-03-06,1144
K62329183,2020-05-28,86
K62628434,2021-12-13,527
K63192371,2021-10-20,458
K65802592,2021-08-14,644
K66509963,2020-06-11,29
K68196466,2021-12-26,454
K70928496,2021-02-09,1078
K72406913,2020-01-16,1437
K73467748,2021-11-11,1068
K77896912,2020-03-22,483
K78886464,2021-09-17,278
K79963479,2020-03-12,971
K80139521,2021-03-30,652
K81450918,2021-12-13,1404
K82759845,2021-01-19,243
K84806329,2020-09-08,1494
K85662558,2020-10-07,1073
K87589512,2020-09-09,173
K88417795,2020-01-02,992
K89052983,2020-03-26,353
K89277679,2020-06-30,694
K91638619,2020-08-08,1508
K94480107,2021-12-22,250
K96768869,2021-08-18,1014
K98567131,2021-07-20,137
K98676393,2021-01-16,219
L00158285,2020-10-31,223
L02755291,2021-07-11,33
L03315272,2021-08-09,320
L05331941,2020-05-12,860
L06492010,2021-08-03,1336
L07505202,2020-07-10,391
L07644704,2021-01-23,1553
L08562865,2020-05-13,665
L09083663,2020-08-13,1002
L11593284,2021-10-26,61
L14644631,2020-07-03,726
L15236927,2021-12-09,314
L16328246,2021-08-12,343
L18452027,2020-07-30,1291
L19596279,2019-10-15,82
L24555313,2020-04-04,137
L28167530,2021-10-30,481
L29575916,2019-03-14,1010
L31984850,2020-04-22,1026
L32543466,2021-06-08,498
L32740169,2021-12-04,267
L33848368,2021-05-23,624
L35646638,2020-02-14,859
L35722635,2020-01-10,1100
L36375898,2020-07-25,925
L37086790,2020-09-10,1364
L38138295,2021-04-02,527
L38334724,2020-04-12,1079
L39242534,2020-08-28,1129
L41046986,2021-02-25,1125
L43622560,2020-06-29,1148
L47696872,2021-04-11,410
L48361270,2020-12-15,78
L48432492,2020-05-21,591
L49058371,2021-11-06,119
L50351879,2021-07-16,978
L51218383,2021-03-21,1406
L51515176,2020-12-15,76
L52957200,2019-07-24,935
L53167586,2021-11-14,1
L54284863,2021-03-31,686
L54377586,2021-12-11,226
L54734854,2021-03-21,54
L55488443,2021-08-31,966
L56736074,2020-01-20,916
L59287854,2019-07-29,688
L59933166,2020-04-07,729
L62199115,2020-02-11,118
L63612779,2021-03-11,71
L65001140,2021-03-31,274
L68612310,2021-09-03,774
L71564326,2019-09-03,298
L75858245,2020-05-06,160
L77402586,2020-03-01,297
L81217829,2021-08-30,949
L84214566,2021-01-20,940
L85006740,2021-09-24,293
L87837855,2020-11-24,613
L88147313,2019-08-30,908
L89589568,2021-04-19,671
L90647900,2021-03-18,1399
L92418237,2021-10-18,209
L92975461,2021-12-09,177
L93750647,2021-11-05,943
L96439098,2020-10-13,318
L96660253,2021-08-03,777
L99432614,2021-09-14,656
L99930516,2021-10-19,187
M03400125,2020-03-09,330
M03499049,2021-05-23,788
M05023118,2020-06-10,852
M05256523,2020-03-17,359
M10171559,2021-06-03,1057
M10449606,2021-11-13,1284
M10455067,2021-01-04,151
M14350919,2021-05-30,736
M15328392,2020-07-24,324
M15517322,2021-11-03,1071
M18888605,2020-08-08,14
M19841182,2021-06-27,241
M20857342,2021-06-23,214
M21272136,2020-08-02,264
M22750797,2021-12-08,1164
M23577831,2020-03-14,60
M24242074,2020-09-16,190
M25350375,2020-12-15,1383
M27253413,2020-12-27,399
M29125004,2020-02-22,773
M35283047,2021-09-02,364
M35869148,2021-08-20,472
M36083588,2021-12-06,465
M36940598,2020-04-14,1203
M45466862,2021-01-07,1272
M45642565,2021-04-29,491
M45868125,2021-09-10,625
M48744216,2021-04-13,498
M49215942,2021-02-22,1050
M52450822,2021-12-19,195
M55900671,2021-03-30,1264
M56218387,2021-11-12,797
M57851271,2021-08-12,102
M62820496,2020-10-20,124
M65662116,2020-12-07,316
M66810168,2021-06-24,1175
M68040523,2021-05-17,111
M68057042,2021-11-16,187
M68258717,2020-05-17,266
M69668175,2020-02-04,1157
M71029834,2020-10-19,506
M74216449,2021-02-20,907
M74683617,2020-03-23,1092
M76213915,2021-07-01,1559
M78857238,2021-03-31,821
M79931697,2021-03-15,585
M79966794,2020-12-30,470
M80524962,2020-09-01,561
M81832385,2020-02-28,1082
M83808487,2020-07-28,411
M87631232,2021-12-27,1573
M88973098,2021-11-07,254
M89019128,2020-02-25,1277
M92171729,2021-10-07,1554
M92560406,2020-02-27,150
M93277424,2021-07-06,520
M97734787,2021-10-22,1403
M99794338,2021-03-25,713
N00678297,2020-03-07,1478
N05043058,2021-01-27,582
N05980091,2020-11-24,840
N06812135,2021-03-23,1330
N14080877,2020-02-01,151
N14663649,2020-09-06,668
N16229371,2021-07-02,181
N17320332,2020-05-26,1523
N19065604,2020-10-12,1338
N23686049,2020-12-17,1267
N26467874,2021-06-21,1359
N27169839,2021-08-29,1576
N27347304,2020-09-21,547
N28739089,2021-02-26,104
N30713690,2020-09-22,1388
N31631906,2019-08-12,795
N32585395,2020-01-21,119
N33056242,2021-04-22,157
N33547591,2021-06-22,667
N33829012,2020-02-19,1176
N34148108,2020-08-17,517
N34415440,2019-08-15,559
N34626133,2021-07-10,357
N37351673,2020-03-16,716
N41161702,2020-09-09,975
N42260447,2020-07-09,268
N44748974,2020-08-20,717
N44900004,2021-06-15,136
N50421386,2021-03-16,1201
N51124201,2020-02-27,1016
N53647591,2021-09-06,1418
N55850415,2020-06-07,553
N56226442,2020-08-08,786
N57215522,2020-08-14,719
N57724419,2021-08-13,139
N58714135,2020-03-21,842
N60543117,2020-11-22,609
N61092731,2021-08-12,929
N63641992,2020-03-12,1145
N63989144,2020-05-23,363
N68147628,2021-12-27,882
N68565942,2020-10-26,261
N69937144,2020-06-05,1526
N71374582,2020-09-28,867
N72312732,2021-01-20,16
N73851354,2021-04-24,272
N74337534,2020-09-02,622
N75705906,2020-05-01,766
N78775934,2021-08-14,148
N79608815,2020-03-07,522
N81784333,2020-12-10,507
N82775197,2020-11-29,633
N84424844,2020-08-10,1042
N86846341,2020-05-12,869
N87183415,2019-04-30,222
N87894959,2021-10-12,41
N88385889,2021-04-27,195
N88970244,2020-05-06,256
N89117037,2021-09-21,1086
N89431517,2021-04-23,1545
N90123954,2021-05-10,421
N91912408,2021-12-12,400
N96271801,2021-06-10,89
N97311425,2021-01-20,554
N98148122,2021-04-15,499
N99238646,2020-02-20,1398
P00146590,2021-08-25,31
P02256231,2020-08-24,871
P02389061,2021-04-10,731
P06233177,2020-03-11,104
P06959264,2020-11-28,1322
P11767066,2020-08-26,1301
P12721701,2021-08-16,1334
P13386244,2020-04-01,351
P13595042,2021-04-03,427
P13815906,2020-02-10,552
P14898523,2020-12-15,678
P15794189,2020-07-22,21
P17377472,2020-01-17,645
P18323797,2020-09-27,353
P18888110,2020-10-19,1001
P19007280,2021-08-23,1343
P21004985,2020-09-13,948
P22243716,2020-12-11,131
P22260629,2020-10-24,1472
P23412339,2020-05-23,1051
P24583412,2020-05-06,1064
P24723605,2021-01-17,1332
P25622775,2021-11-10,1409
P25826870,2021-04-16,33
P26466537,2020-09-24,86
P28030106,2021-11-27,789
P29738521,2021-07-17,727
P30170259,2021-02-24,1234
P30760459,2021-02-24,1253
P30868751,2020-09-26,558
P31545830,2021-12-05,402
P32693070,2021-04-17,107
P32773588,2020-01-29,432
P32909320,2020-12-07,207
P33362722,2020-06-19,464
P33445351,2020-12-20,259
P33906040,2020-07-27,993
P40419919,2020-11-26,180
P40447368,2021-07-29,610
P42222058,2021-03-15,914
P42447485,2020-01-23,370
P44884107,2020-02-25,701
P46268852,2021-05-28,402
P47047346,2020-03-21,48
P47622539,2020-12-13,284
P48744253,2021-11-02,1470
P51261039,2020-06-25,960
P52263130,2021-02-18,544
P52280588,2021-09-23,911
P53141425,2020-05-18,1303
P54962685,2020-11-01,348
P55602328,2021-08-07,1138
P57945293,2020-11-13,989
P58307212,2020-06-12,1127
P63403259,2020-01-04,1254
P63983488,2020-12-10,818
P64251439,2020-03-19,497
P68301785,2020-08-03,1047
P68629638,2020-11-18,103
P69947721,2020-11-16,678
P71115070,2021-03-25,1124
P77817886,2020-04-03,1503
P79876602,2021-06-15,1427
P80188591,2020-09-26,365
P81509819,2021-05-01,470
P81567208,2020-06-05,1016
P81857781,2021-03-30,908
P83683632,2021-02-05,105
P84245641,2021-07-14,1223
P85737122,2021-08-22,1349
P87446574,2020-10-15,984
P88581838,2021-04-03,1543
P89593832,2020-01-18,866
P90393724,2020-10-14,1103
P93785521,2021-05-27,964
P98262023,2020-05-19,688
R00509004,2021-06-10,1260
R01965432,2021-04-03,870
R02555618,2020-01-12,126
R02689123,2020-06-30,403
R03538433,2021-07-21,1217
R04574182,2020-07-01,828
R04662086,2020-08-13,1126
R05086271,2020-07-04,1597
R05470017,2019-10-11,31
R08072371,2021-11-08,968
R08793674,2020-10-19,737
R11148011,2021-11-11,675
R12290782,2021-05-29,242
R12392670,2020-05-08,957
R12912558,2021-05-21,931
R13843703,2021-04-03,863
R16224322,2021-12-21,173
R16609970,2021-03-19,485
R18165105,2021-05-10,843
R21549518,2021-08-21,733
R24156617,2021-01-04,1484
R24822676,2021-09-06,1497
R24912841,2019-06-03,643
R28982330,2020-05-29,431
R29347263,2021-01-11,822
R29798992,2021-11-14,570
R31085576,2021-04-18,637
R32265319,2020-01-13,826
R35602033,2021-12-27,236
R35904533,2021-07-02,419
R35974964,2021-10-06,52
R35978934,2021-05-02,344
R39530679,2019-06-09,470
R39667377,2020-12-14,635
R39903499,2019-07-14,315
R41966491,2020-12-19,53
R41998828,2020-03-29,33
R44929640,2021-10-17,573
R45172651,2021-12-12,264
R45779033,2021-06-25,1199
R46502686,2020-03-21,629
R46565809,2020-05-20,240
R47354541,2020-08-19,282
R49802189,2021-02-23,461
R51467208,2021-09-24,476
R52234776,2021-11-07,475
R52779363,2020-08-02,323
R56330014,2020-07-31,711
R58427536,2020-01-14,680
R58973860,2021-11-12,69
R59961603,2021-01-18,884
R60683107,2021-05-01,401
R60692767,2021-06-10,18
R61244038,2021-10-30,423
R62061195,2021-10-08,998
R64345885,2021-02-02,1530
R64615474,2021-02-20,63
R66034961,2021-05-31,78
R66745467,2021-02-18,769
R69547632,2021-06-30,1516
R70830036,2020-04-12,1352
R71944253,2021-02-10,995
R74487788,2020-02-07,1219
R75066964,2020-02-19,657
R75659786,2021-10-06,642
R77544395,2020-06-16,1394
R78863956,2020-11-11,1547
R79802506,2021-12-30,189
R85290647,2020-03-07,732
R86420397,2020-10-26,295
R87441149,2021-11-24,458
R88284956,2020-12-28,500
R88972630,2021-10-11,373
R93201569,2020-05-02,845
R95372385,2020-10-26,1226
R95951994,2020-02-21,463
R96444727,2021-09-03,193
R98142549,2021-02-11,92
R98304636,2021-05-11,502
R98320508,2020-06-11,539
R99848632,2020-09-17,1259
T01894200,2020-12-09,978
T03582382,2020-11-07,369
T03710352,2021-10-16,1430
T04511373,2021-11-07,1355
T05206399,2021-11-13,542
T07693768,2020-09-04,879
T08598865,2021-04-30,1373
T09757805,2021-03-13,1070
T09996467,2021-11-01,920
T13668119,2021-02-05,1572
T15019958,2020-02-11,896
T19251814,2021-07-05,1155
T21231825,2021-01-14,716
T21944216,2020-01-22,1347
T23440410,2021-08-14,1189
T29101925,2021-05-17,1533
T30713765,2021-02-17,531
T33404737,2021-08-16,849
T35347097,2021-07-26,179
T35595932,2021-07-04,1012
T37819727,2021-05-02,1288
T38395274,2021-07-31,434
T38867310,2020-03-21,115
T39763445,2020-09-11,873
T41429535,2021-12-03,188
T41985395,2020-06-26,206
T42623997,2020-08-07,540
T44270671,2020-05-20,764
T44732035,2020-11-20,69
T46691726,2021-01-16,909
T51354310,2020-04-06,927
T51846281,2020-04-17,382
T52229541,2020-11-16,298
T52655570,2021-01-25,1142
T52810206,2021-04-16,1485
T53351191,2020-07-25,217
T53966517,2021-12-21,447
T54765080,2021-08-27,877
T58260644,2020-05-06,641
T59775607,2020-11-15,46
T62341784,2021-10-22,703
T63918813,2020-11-17,215
T64698812,2021-10-10,628
T65157547,2020-01-25,469
T65517042,2020-02-01,521
T66743388,2021-06-18,915
T68908181,2021-01-05,1304
T70018455,2021-12-24,563
T72776245,2021-08-13,393
T81922567,2020-03-29,326
T82188961,2020-11-10,99
T85337652,2021-04-23,978
T87397724,2021-06-16,84
T88226289,2021-11-21,1459
T89144139,2020-12-25,814
T89639719,2020-12-26,1098
T89645671,2020-01-07,1213
T90435044,2021-12-21,768
T96698267,2020-05-15,403
T97534388,2020-02-26,274
V02555334,2021-09-18,1515
V04318167,2021-01-03,1358
V04527849,2021-09-26,632
V06345141,2021-10-17,593
V09212872,2021-01-19,1025
V10451709,2019-08-23,1016
V10504871,2021-05-10,249
V13291916,2021-12-28,454
V13663289,2020-05-29,826
V13754492,2019-11-05,879
V16396314,2021-01-26,135
V19250340,2021-01-22,90
V19328729,2020-03-30,301
V21393577,2020-04-20,878
V23410112,2021-05-17,297
V25345851,2021-07-12,147
V25869076,2021-10-20,13
V26478755,2021-06-23,376
V26623921,2020-04-04,1438
V27037826,2021-07-04,511
V28564849,2021-12-29,468
V30037088,2021-08-03,1439
V30456699,2020-11-06,302
V30532961,2019-01-10,763
V30849656,2021-09-17,220
V31150476,2020-01-07,1128
V33710193,2021-01-05,997
V33840849,2020-10-09,466
V34948348,2021-02-02,1357
V40543240,2020-12-17,482
V41509521,2020-05-12,1094
V43011036,2020-03-24,710
V43983120,2020-07-23,934
V44644402,2021-04-02,298
V45210345,2020-02-10,727
V46346731,2019-07-31,207
V49542206,2021-03-17,140
V50416847,2020-08-30,969
V53370773,2020-01-13,352
V57714460,2020-09-23,117
V57744079,2021-01-07,42
V60611138,2020-05-31,818
V63171293,2019-02-20,935
V65185738,2021-10-03,1593
V66931236,2020-03-14,197
V67085387,2020-11-08,215
V69020465,2021-06-29,30
V72098660,2021-08-29,205
V74058750,2021-04-09,7
V75692633,2020-03-03,95
V76194497,2021-07-21,919
V76686647,2019-12-06,719
V82793175,2021-11-23,231
V83128436,2020-04-14,1366
V86463160,2021-03-01,342
V88432512,2021-03-16,556
V88870701,2021-11-13,238
V92047075,2020-06-02,758
V93118113,2019-11-23,292
V94198062,2020-02-02,547
V95647962,2020-02-13,647
V97851317,2021-08-27,958
V98908375,2021-09-04,1435
W00563312,2020-06-24,781
W01180184,2020-06-03,1500
W06340888,2021-01-20,1154
W09554696,2021-10-17,1081
W10315587,2021-07-26,1130
W17080565,2021-02-01,290
W18040088,2020-05-21,799
W19147742,2020-09-28,368
W23276715,2021-03-05,510
W23720752,2021-01-16,515
W25295320,2021-05-11,716
W32690139,2020-07-06,158
W34772109,2020-01-23,334
W35328273,2020-06-15,1255
W37583527,2020-09-30,567
W41254702,2020-08-08,250
W43779381,2021-07-28,1207
W45365551,2021-06-26,426
W46612067,2020-09-13,769
W47914592,2021-11-06,458
W48484674,2021-04-07,123
W50477395,2020-01-13,1110
W50515298,2021-05-15,97
W50807074,2021-12-07,347
W52725338,2020-06-28,63
W53213197,2021-12-26,452
W53624626,2021-10-27,421
W54603674,2021-08-31,298
W54615495,2021-09-21,996
W55393137,2021-12-01,1029
W57303410,2021-08-29,1465
W57750090,2020-02-21,197
W57825313,2021-10-20,1564
W58105362,2020-05-08,827
W58425762,2020-04-23,1220
W59322124,2021-10-26,574
W63826719,2020-11-09,654
W67774179,2021-05-17,251
W73693955,2020-02-29,1519
W77745648,2021-12-12,195
W79685765,2021-11-24,763
W80497600,2021-06-05,907
W80540017,2020-01-26,886
W85320288,2021-09-24,1599
W85609445,2021-07-29,691
W85640198,2021-02-21,1137
W87050564,2020-07-16,1320
W87326671,2020-05-08,803
W89170813,2021-02-09,1360
W90886328,2020-11-06,83
W95463601,2021-09-15,1151
W97933309,2020-07-17,823
W99824898,2020-05-21,782
W99884437,2021-11-11,1426
X00109357,2021-08-24,1052
X00239868,2020-10-05,550
X00357519,2021-03-05,167
X01311496,2020-07-10,82
X01877667,2019-06-10,382
X01957726,2020-11-10,179
X02360353,2021-07-16,704
X03578922,2020-05-29,116
X03817113,2020-12-17,441
X05022891,2020-07-04,176
X05310013,2020-06-19,91
X05507349,2021-11-07,1502
X06125480,2020-12-25,496
X07754684,2021-03-23,134
X08239034,2021-12-12,1247
X08607400,2021-05-12,255
X08642033,2020-07-19,1362
X09258656,2021-01-23,370
X10296928,2021-04-27,59
X11863893,2020-05-11,526
X12378033,2019-07-15,818
X12428527,2019-08-16,863
X13560265,2021-09-22,230
X13906873,2021-04-21,678
X14571585,2021-12-22,1300
X15021223,2020-09-10,1382
X15050386,2020-05-10,1010
X16606428,2020-02-04,1546
X17559120,2021-10-12,549
X19180477,2020-05-04,501
X19278890,2020-07-23,568
X19690629,2020-03-12,1231
X20012094,2021-10-06,617
X21632253,2021-06-27,779
X23015065,2020-06-29,619
X23227916,2021-08-30,62
X23599980,2020-12-10,1586
X24427110,2019-01-03,992
X24795481,2021-10-13,1004
X25165937,2021-10-16,338
X25509722,2021-09-17,1088
X26482343,2021-05-20,950
X26490696,2019-10-18,907
X26811641,2021-06-25,958
X28290024,2020-01-25,1448
X28519343,2020-08-07,48
X28688692,2021-01-30,122
X28979607,2021-09-14,778
X29922031,2021-08-28,1393
